digit,index,true,pred,misclassified,perturb_norm_l2
0,0,0,0,False,942.8824462890625
0,1,0,2,True,1154.8653564453125
0,2,0,0,False,940.9696044921875
0,3,0,2,True,1134.5850830078125
0,4,0,0,False,942.0737915039062
0,5,0,0,False,939.7803344726562
0,6,0,0,False,940.0017700195312
0,7,0,7,True,1152.3408203125
0,8,0,2,True,1152.2528076171875
0,9,0,0,False,942.2879028320312
0,10,0,0,False,942.538330078125
0,11,0,2,True,1158.400390625
0,12,0,0,False,929.4644165039062
0,13,0,5,True,1135.403076171875
0,14,0,0,False,945.7335205078125
0,15,0,2,True,1139.624755859375
0,16,0,2,True,1156.4554443359375
0,17,0,0,False,940.2332153320312
0,18,0,0,False,942.268798828125
0,19,0,0,False,932.7163696289062
0,20,0,2,True,1159.4681396484375
0,21,0,2,True,1177.5067138671875
0,22,0,0,False,937.1566772460938
0,23,0,6,True,1148.88671875
0,24,0,0,False,943.5390625
0,25,0,0,False,935.34912109375
0,26,0,0,False,940.2465209960938
0,27,0,0,False,928.617431640625
0,28,0,7,True,1120.758056640625
0,29,0,0,False,1169.5931396484375
0,30,0,0,False,940.2590942382812
0,31,0,0,False,942.8626098632812
0,32,0,0,False,1169.040283203125
0,33,0,2,True,1174.7493896484375
0,34,0,0,False,942.735595703125
0,35,0,0,False,943.05517578125
0,36,0,2,True,1157.7606201171875
0,37,0,2,True,1178.3590087890625
0,38,0,2,True,1165.661865234375
0,39,0,0,False,939.948974609375
0,40,0,5,True,1159.3995361328125
0,41,0,2,True,1145.2548828125
0,42,0,0,False,943.81298828125
0,43,0,2,True,1151.03564453125
0,44,0,0,False,937.3685302734375
0,45,0,0,False,931.1959228515625
0,46,0,0,False,934.9755249023438
0,47,0,0,False,938.7669677734375
0,48,0,0,False,941.57666015625
0,49,0,2,True,1151.00390625
1,50,1,2,True,1159.1319580078125
1,51,1,7,True,1117.474365234375
1,52,1,8,True,1145.1336669921875
1,53,1,7,True,1160.033203125
1,54,1,2,True,1133.9708251953125
1,55,1,2,True,1168.6273193359375
1,56,1,2,True,1135.2716064453125
1,57,1,2,True,1143.9190673828125
1,58,1,3,True,1165.3497314453125
1,59,1,7,True,1160.685791015625
1,60,1,2,True,1166.55078125
1,61,1,2,True,1109.1290283203125
1,62,1,7,True,1117.32763671875
1,63,1,8,True,1161.7552490234375
1,64,1,2,True,1142.711669921875
1,65,1,2,True,1167.89404296875
1,66,1,2,True,1151.7203369140625
1,67,1,2,True,1177.4957275390625
1,68,1,2,True,1127.908447265625
1,69,1,3,True,1137.76025390625
1,70,1,8,True,1143.9532470703125
1,71,1,2,True,1160.5660400390625
1,72,1,2,True,1104.4803466796875
1,73,1,1,False,1059.0621337890625
1,74,1,2,True,1152.5166015625
1,75,1,2,True,1133.2384033203125
1,76,1,7,True,1160.2733154296875
1,77,1,1,False,1105.61474609375
1,78,1,1,False,934.4967651367188
1,79,1,2,True,1142.13818359375
1,80,1,5,True,1173.687744140625
1,81,1,2,True,1145.8812255859375
1,82,1,2,True,1103.2584228515625
1,83,1,2,True,1161.3148193359375
1,84,1,2,True,1163.1943359375
1,85,1,2,True,1121.391357421875
1,86,1,2,True,1162.8389892578125
1,87,1,7,True,1179.298583984375
1,88,1,7,True,1215.0843505859375
1,89,1,2,True,1180.3131103515625
1,90,1,2,True,1155.9090576171875
1,91,1,2,True,1185.443359375
1,92,1,7,True,1167.1427001953125
1,93,1,7,True,1126.461181640625
1,94,1,2,True,1160.944580078125
1,95,1,2,True,1177.9423828125
1,96,1,7,True,1180.525146484375
1,97,1,7,True,1181.04248046875
1,98,1,2,True,1160.121826171875
1,99,1,2,True,1150.515380859375
2,100,2,2,False,936.9445190429688
2,101,2,2,False,1065.827880859375
2,102,2,7,True,1128.5245361328125
2,103,2,8,True,1170.7779541015625
2,104,2,7,True,1149.5211181640625
2,105,2,2,False,940.584716796875
2,106,2,2,False,938.5208740234375
2,107,2,7,True,1159.76513671875
2,108,2,2,False,945.1767578125
2,109,2,2,False,937.0947875976562
2,110,2,2,False,936.0341796875
2,111,2,7,True,1146.229736328125
2,112,2,2,False,943.1229858398438
2,113,2,2,False,926.2125854492188
2,114,2,7,True,1162.9154052734375
2,115,2,2,False,938.49853515625
2,116,2,5,True,1141.0870361328125
2,117,2,2,False,934.9633178710938
2,118,2,7,True,1151.29541015625
2,119,2,2,False,938.052490234375
2,120,2,7,True,1154.0496826171875
2,121,2,0,True,1155.5098876953125
2,122,2,2,False,942.7098388671875
2,123,2,2,False,1115.03173828125
2,124,2,2,False,929.6160888671875
2,125,2,2,False,945.7940063476562
2,126,2,2,False,947.215087890625
2,127,2,7,True,1136.9608154296875
2,128,2,2,False,1118.4500732421875
2,129,2,2,False,941.2469482421875
2,130,2,2,False,1109.85107421875
2,131,2,2,False,938.8740234375
2,132,2,2,False,942.297607421875
2,133,2,2,False,936.2322998046875
2,134,2,2,False,945.8616333007812
2,135,2,2,False,938.1395874023438
2,136,2,2,False,940.3915405273438
2,137,2,2,False,937.3997802734375
2,138,2,2,False,945.7266845703125
2,139,2,3,True,1130.7882080078125
2,140,2,2,False,932.7960205078125
2,141,2,6,True,1144.3748779296875
2,142,2,2,False,942.2880859375
2,143,2,2,False,938.8429565429688
2,144,2,3,True,1151.1875
2,145,2,2,False,943.9578247070312
2,146,2,2,False,932.7821655273438
2,147,2,2,False,932.74169921875
2,148,2,2,False,918.4749755859375
2,149,2,2,False,942.7823486328125
3,150,3,5,True,1182.6937255859375
3,151,3,3,False,942.0810546875
3,152,3,3,False,938.3720092773438
3,153,3,5,True,1188.729248046875
3,154,3,3,False,935.5061645507812
3,155,3,5,True,1147.3275146484375
3,156,3,3,False,928.6314697265625
3,157,3,3,False,940.654541015625
3,158,3,7,True,1141.2476806640625
3,159,3,5,True,1149.82861328125
3,160,3,3,False,939.0712890625
3,161,3,3,False,917.5117797851562
3,162,3,5,True,1165.2196044921875
3,163,3,5,True,1187.8104248046875
3,164,3,3,False,935.999267578125
3,165,3,3,False,931.5315551757812
3,166,3,3,False,1138.2740478515625
3,167,3,3,False,1134.1666259765625
3,168,3,2,True,1150.7144775390625
3,169,3,3,False,1037.70751953125
3,170,3,3,False,940.4825439453125
3,171,3,8,True,1151.2867431640625
3,172,3,5,True,1106.744384765625
3,173,3,3,False,941.1886596679688
3,174,3,5,True,1171.419189453125
3,175,3,3,False,948.2216796875
3,176,3,5,True,1116.729736328125
3,177,3,3,False,1055.4189453125
3,178,3,8,True,1165.3187255859375
