digit,index,true,pred,misclassified,perturb_norm_l2
0,0,0,0,False,1680.934326171875
0,1,0,0,False,0.0
0,2,0,8,True,1651.5435791015625
0,3,0,0,False,0.0
0,4,0,0,False,0.0
0,5,0,0,False,1648.67578125
0,6,0,6,True,1709.78515625
0,7,0,7,True,1720.1776123046875
0,8,0,0,False,0.0
0,9,0,0,False,1643.3385009765625
0,10,0,0,False,0.0
0,11,0,0,False,1687.648193359375
0,12,0,0,False,0.0
0,13,0,0,False,1760.1116943359375
0,14,0,0,False,1686.5357666015625
0,15,0,0,False,1720.896728515625
0,16,0,0,False,1688.063720703125
0,17,0,0,False,0.0
0,18,0,6,True,1682.8194580078125
0,19,0,0,False,1676.7103271484375
0,20,0,2,True,1721.46142578125
0,21,0,2,True,1693.41455078125
0,22,0,5,True,1656.54052734375
0,23,0,2,True,1644.841064453125
0,24,0,0,False,1736.0811767578125
0,25,0,0,False,1644.474365234375
0,26,0,0,False,1674.0894775390625
0,27,0,8,True,1693.801025390625
0,28,0,0,False,0.0
0,29,0,5,True,1704.4222412109375
0,30,0,9,True,1683.8009033203125
0,31,0,0,False,0.0
0,32,0,0,False,1706.1527099609375
0,33,0,2,True,1687.842529296875
0,34,0,2,True,1682.98193359375
0,35,0,0,False,0.0
0,36,0,6,True,1643.5882568359375
0,37,0,0,False,0.0
0,38,0,0,False,0.0
0,39,0,2,True,1620.798095703125
0,40,0,0,False,1673.2994384765625
0,41,0,9,True,1654.04736328125
0,42,0,6,True,1703.07373046875
0,43,0,2,True,1610.288330078125
0,44,0,0,False,0.0
0,45,0,0,False,1675.4683837890625
0,46,0,0,False,0.0
0,47,0,0,False,0.0
0,48,0,0,False,0.0
0,49,0,0,False,0.0
1,50,1,1,False,0.0
1,51,1,1,False,0.0
1,52,1,1,False,0.0
1,53,1,1,False,1668.4588623046875
1,54,1,1,False,0.0
1,55,1,7,True,1693.067138671875
1,56,1,1,False,1690.7431640625
1,57,1,1,False,0.0
1,58,1,1,False,1618.1666259765625
1,59,1,1,False,0.0
1,60,1,1,False,0.0
1,61,1,1,False,1660.964599609375
1,62,1,2,True,1690.7166748046875
1,63,1,1,False,0.0
1,64,1,1,False,1653.5635986328125
1,65,1,1,False,1632.079345703125
1,66,1,1,False,1642.6737060546875
1,67,1,1,False,1629.4571533203125
1,68,1,1,False,1669.958251953125
1,69,1,1,False,1630.2298583984375
1,70,1,1,False,1657.1649169921875
1,71,1,1,False,0.0
1,72,1,1,False,1705.9920654296875
1,73,1,1,False,1706.7542724609375
1,74,1,7,True,1708.6475830078125
1,75,1,1,False,1685.7667236328125
1,76,1,1,False,0.0
1,77,1,2,True,1621.79052734375
1,78,1,1,False,1650.5108642578125
1,79,1,1,False,0.0
1,80,1,1,False,0.0
1,81,1,5,True,1728.6702880859375
1,82,1,1,False,0.0
1,83,1,1,False,0.0
1,84,1,1,False,0.0
1,85,1,1,False,0.0
1,86,1,1,False,1630.897705078125
1,87,1,1,False,0.0
1,88,1,1,False,0.0
1,89,1,1,False,0.0
1,90,1,1,False,1690.0303955078125
1,91,1,1,False,1686.7081298828125
1,92,1,1,False,1692.056640625
1,93,1,1,False,0.0
1,94,1,1,False,0.0
1,95,1,1,False,0.0
1,96,1,1,False,1663.1231689453125
1,97,1,1,False,1615.5238037109375
1,98,1,1,False,1720.380615234375
1,99,1,1,False,0.0
2,100,2,2,False,0.0
2,101,2,2,False,0.0
2,102,2,2,False,0.0
2,103,2,2,False,0.0
2,104,2,1,True,1694.6915283203125
2,105,2,2,False,0.0
2,106,2,2,False,1676.294677734375
2,107,2,7,True,1645.741455078125
2,108,2,2,False,0.0
2,109,2,2,False,0.0
2,110,2,2,False,0.0
2,111,2,2,False,0.0
2,112,2,2,False,0.0
2,113,2,2,False,0.0
2,114,2,2,False,0.0
2,115,2,2,False,0.0
2,116,2,2,False,0.0
2,117,2,7,True,1636.44873046875
2,118,2,8,True,1626.136474609375
2,119,2,2,False,1676.776123046875
2,120,2,3,True,1667.474853515625
2,121,2,2,False,0.0
2,122,2,2,False,0.0
2,123,2,2,False,0.0
2,124,2,1,True,1631.1085205078125
2,125,2,2,False,0.0
2,126,2,2,False,0.0
2,127,2,2,False,0.0
2,128,2,2,False,0.0
2,129,2,2,False,1684.0771484375
2,130,2,1,True,1628.07421875
2,131,2,2,False,0.0
2,132,2,2,False,0.0
2,133,2,2,False,0.0
2,134,2,2,False,0.0
2,135,2,7,True,1679.403076171875
2,136,2,2,False,1678.532958984375
2,137,2,2,False,0.0
2,138,2,2,False,0.0
2,139,2,2,False,0.0
2,140,2,2,False,0.0
2,141,2,3,True,1619.5380859375
2,142,2,2,False,0.0
2,143,2,2,False,0.0
2,144,2,2,False,1617.82177734375
2,145,2,2,False,0.0
2,146,2,2,False,0.0
2,147,2,2,False,0.0
2,148,2,2,False,0.0
2,149,2,2,False,0.0
3,150,3,3,False,0.0
3,151,3,3,False,0.0
3,152,3,3,False,0.0
3,153,3,3,False,0.0
3,154,3,9,True,1678.3232421875
3,155,3,7,True,1622.717529296875
3,156,3,3,False,1651.9608154296875
3,157,3,3,False,1634.42529296875
3,158,3,3,False,0.0
3,159,3,3,False,1702.5706787109375
3,160,3,3,False,0.0
3,161,3,3,False,0.0
3,162,3,2,True,1624.559814453125
3,163,3,3,False,0.0
3,164,3,3,False,1625.47802734375
3,165,3,3,False,0.0
3,166,3,3,False,0.0
3,167,3,5,True,1715.94970703125
3,168,3,8,True,1703.17333984375
3,169,3,2,True,1702.6011962890625
3,170,3,3,False,0.0
3,171,3,3,False,0.0
3,172,3,3,False,0.0
3,173,3,3,False,0.0
3,174,3,3,False,0.0
3,175,3,2,True,1628.7984619140625
3,176,3,3,False,0.0
3,177,3,3,False,0.0
3,178,3,5,True,1721.24169921875
3,179,3,3,False,0.0
3,180,3,5,True,1616.06982421875
3,181,3,7,True,1715.3360595703125
3,182,3,3,False,1663.31201171875
3,183,3,3,False,0.0
3,184,3,3,False,1651.287109375
3,185,3,3,False,1686.59228515625
3,186,3,3,False,0.0
3,187,3,3,False,0.0
3,188,3,3,False,0.0
3,189,3,3,False,0.0
3,190,3,3,False,0.0
3,191,3,3,False,1626.63330078125
3,192,3,3,False,0.0
3,193,3,3,False,0.0
3,194,3,3,False,0.0
3,195,3,3,False,1671.3145751953125
3,196,3,3,False,0.0
3,197,3,3,False,0.0
3,198,3,5,True,1701.075927734375
3,199,3,3,False,1650.1519775390625
4,200,4,4,False,0.0
