digit,index,true,pred,misclassified,perturb_norm_l2
0,0,0,0,False,0.0
0,1,0,6,True,976.2748413085938
0,2,0,0,False,0.0
0,3,0,2,True,1172.677490234375
0,4,0,0,False,0.0
0,5,0,0,False,0.0
0,6,0,0,False,0.0
0,7,0,7,True,1192.8525390625
0,8,0,2,True,1148.8516845703125
0,9,0,0,False,0.0
0,10,0,0,False,0.0
0,11,0,2,True,1138.516845703125
0,12,0,0,False,0.0
0,13,0,6,True,1126.7261962890625
0,14,0,0,False,0.0
0,15,0,2,True,1118.2459716796875
0,16,0,0,False,1084.128662109375
0,17,0,0,False,0.0
0,18,0,0,False,0.0
0,19,0,0,False,0.0
0,20,0,2,True,1175.4150390625
0,21,0,2,True,1145.010498046875
0,22,0,0,False,0.0
0,23,0,2,True,1162.9205322265625
0,24,0,0,False,0.0
0,25,0,0,False,0.0
0,26,0,0,False,0.0
0,27,0,0,False,0.0
0,28,0,7,True,1177.1378173828125
0,29,0,0,False,1117.177490234375
0,30,0,0,False,0.0
0,31,0,0,False,0.0
0,32,0,0,False,1143.2215576171875
0,33,0,2,True,1156.560791015625
0,34,0,0,False,0.0
0,35,0,0,False,0.0
0,36,0,2,True,1180.6041259765625
0,37,0,2,True,1149.6358642578125
0,38,0,2,True,1172.9422607421875
0,39,0,0,False,0.0
0,40,0,5,True,1159.5487060546875
0,41,0,5,True,1177.04248046875
0,42,0,0,False,0.0
0,43,0,2,True,1167.4503173828125
0,44,0,0,False,0.0
0,45,0,0,False,0.0
0,46,0,0,False,0.0
0,47,0,0,False,0.0
0,48,0,0,False,0.0
0,49,0,2,True,1135.8677978515625
1,50,1,2,True,1155.044189453125
1,51,1,7,True,1172.875
1,52,1,2,True,1160.0577392578125
1,53,1,7,True,1208.2410888671875
1,54,1,2,True,1177.2728271484375
1,55,1,8,True,1176.3419189453125
1,56,1,2,True,1127.5850830078125
1,57,1,2,True,1159.94189453125
1,58,1,3,True,1154.1114501953125
1,59,1,7,True,1201.3646240234375
1,60,1,2,True,1170.5777587890625
1,61,1,2,True,1181.2799072265625
1,62,1,7,True,1147.5733642578125
1,63,1,2,True,1176.072509765625
1,64,1,2,True,1186.34228515625
1,65,1,2,True,1162.997802734375
1,66,1,2,True,1134.664794921875
1,67,1,2,True,1187.5106201171875
1,68,1,2,True,1195.7119140625
1,69,1,2,True,1155.9063720703125
1,70,1,8,True,1162.0440673828125
1,71,1,2,True,1166.64208984375
1,72,1,2,True,1127.933349609375
1,73,1,1,False,1028.04736328125
1,74,1,2,True,1154.7337646484375
1,75,1,2,True,1128.59423828125
1,76,1,7,True,1137.7052001953125
1,77,1,1,False,1089.3497314453125
1,78,1,1,False,0.0
1,79,1,2,True,1164.47314453125
1,80,1,5,True,1149.234375
1,81,1,7,True,1124.0904541015625
1,82,1,2,True,1136.760498046875
1,83,1,2,True,1148.7901611328125
1,84,1,2,True,1119.8494873046875
1,85,1,2,True,1121.2894287109375
1,86,1,2,True,1187.358154296875
1,87,1,2,True,1117.6197509765625
1,88,1,7,True,1162.037841796875
1,89,1,8,True,1167.263916015625
1,90,1,2,True,1156.098388671875
1,91,1,2,True,1153.706298828125
1,92,1,7,True,1167.65478515625
1,93,1,7,True,1150.62060546875
1,94,1,2,True,1148.8519287109375
1,95,1,2,True,1132.68310546875
1,96,1,2,True,1174.570556640625
1,97,1,7,True,1170.0491943359375
1,98,1,2,True,1179.11669921875
1,99,1,7,True,1159.92529296875
2,100,2,2,False,0.0
2,101,2,2,False,0.0
2,102,2,7,True,1150.3759765625
2,103,2,8,True,1133.7818603515625
2,104,2,7,True,852.7002563476562
2,105,2,2,False,0.0
2,106,2,2,False,0.0
2,107,2,7,True,1087.486083984375
2,108,2,2,False,0.0
2,109,2,2,False,0.0
2,110,2,2,False,0.0
2,111,2,7,True,1155.9130859375
2,112,2,2,False,0.0
2,113,2,2,False,0.0
2,114,2,7,True,1132.339599609375
2,115,2,2,False,0.0
2,116,2,5,True,1152.0469970703125
2,117,2,2,False,0.0
2,118,2,7,True,1108.9591064453125
2,119,2,2,False,0.0
2,120,2,7,True,1183.6494140625
2,121,2,0,True,1138.578857421875
2,122,2,2,False,0.0
2,123,2,8,True,1111.15478515625
2,124,2,2,False,0.0
2,125,2,2,False,0.0
2,126,2,2,False,0.0
2,127,2,2,False,1150.1219482421875
2,128,2,7,True,1124.1669921875
2,129,2,2,False,0.0
2,130,2,2,False,1129.4405517578125
2,131,2,2,False,0.0
2,132,2,2,False,0.0
2,133,2,2,False,0.0
2,134,2,2,False,0.0
2,135,2,2,False,0.0
2,136,2,2,False,0.0
2,137,2,2,False,0.0
2,138,2,2,False,0.0
2,139,2,3,True,1168.4176025390625
2,140,2,2,False,0.0
2,141,2,6,True,1155.4403076171875
2,142,2,2,False,0.0
2,143,2,2,False,0.0
2,144,2,3,True,934.6277465820312
2,145,2,2,False,0.0
2,146,2,2,False,0.0
2,147,2,2,False,0.0
2,148,2,2,False,0.0
2,149,2,2,False,0.0
3,150,3,5,True,1166.3956298828125
3,151,3,3,False,0.0
3,152,3,3,False,0.0
3,153,3,5,True,1115.462158203125
3,154,3,3,False,1101.10498046875
3,155,3,5,True,1165.4892578125
3,156,3,3,False,1061.7412109375
3,157,3,3,False,0.0
3,158,3,5,True,1134.1917724609375
3,159,3,5,True,1185.1361083984375
3,160,3,3,False,0.0
3,161,3,3,False,0.0
3,162,3,5,True,1147.49169921875
