digit,index,true,pred,misclassified,perturb_norm_l2
0,0,0,7,True,1158.6771240234375
0,1,0,0,False,0.0
0,2,0,2,True,1153.2095947265625
0,3,0,2,True,1121.4931640625
0,4,0,0,False,1139.1781005859375
0,5,0,0,False,0.0
0,6,0,2,True,1165.590576171875
0,7,0,0,False,0.0
0,8,0,0,False,0.0
0,9,0,2,True,1173.9779052734375
0,10,0,0,False,0.0
0,11,0,2,True,1157.1214599609375
0,12,0,0,False,0.0
0,13,0,7,True,1171.2647705078125
0,14,0,9,True,1114.80029296875
0,15,0,5,True,1096.2918701171875
0,16,0,0,False,0.0
0,17,0,0,False,0.0
0,18,0,0,False,0.0
0,19,0,0,False,0.0
0,20,0,2,True,1150.9326171875
0,21,0,0,False,0.0
0,22,0,0,False,0.0
0,23,0,0,False,0.0
0,24,0,0,False,0.0
0,25,0,2,True,1155.0013427734375
0,26,0,0,False,0.0
0,27,0,0,False,0.0
0,28,0,0,False,0.0
0,29,0,5,True,1158.8367919921875
0,30,0,0,False,0.0
0,31,0,0,False,0.0
0,32,0,0,False,0.0
0,33,0,0,False,0.0
0,34,0,0,False,0.0
0,35,0,0,False,1051.95361328125
0,36,0,0,False,0.0
0,37,0,2,True,1159.5736083984375
0,38,0,0,False,0.0
0,39,0,2,True,1178.4478759765625
0,40,0,0,False,0.0
0,41,0,0,False,0.0
0,42,0,7,True,1182.658203125
0,43,0,0,False,1041.8973388671875
0,44,0,0,False,0.0
0,45,0,0,False,1079.5013427734375
0,46,0,0,False,0.0
0,47,0,7,True,1142.6566162109375
0,48,0,0,False,0.0
0,49,0,0,False,0.0
1,50,1,2,True,1154.1507568359375
1,51,1,2,True,1145.3087158203125
1,52,1,2,True,1132.7337646484375
1,53,1,2,True,1198.435546875
1,54,1,2,True,1143.489013671875
1,55,1,7,True,1165.442138671875
1,56,1,2,True,1137.7169189453125
1,57,1,2,True,1135.9345703125
1,58,1,7,True,1120.230224609375
1,59,1,8,True,1094.474609375
1,60,1,2,True,1134.8829345703125
1,61,1,2,True,1160.4276123046875
1,62,1,7,True,1166.2701416015625
1,63,1,2,True,1141.0106201171875
1,64,1,2,True,1167.026123046875
1,65,1,7,True,1126.781494140625
1,66,1,2,True,1146.9049072265625
1,67,1,7,True,1128.6279296875
1,68,1,7,True,1152.5643310546875
1,69,1,2,True,1122.6007080078125
1,70,1,2,True,1171.1871337890625
1,71,1,2,True,1111.5369873046875
1,72,1,2,True,1164.8485107421875
1,73,1,2,True,1149.3538818359375
1,74,1,2,True,1130.0096435546875
1,75,1,7,True,1155.1759033203125
1,76,1,2,True,1158.5074462890625
1,77,1,7,True,1151.796630859375
1,78,1,2,True,1191.6488037109375
1,79,1,1,False,1013.1869506835938
1,80,1,2,True,1152.8089599609375
1,81,1,2,True,1185.788818359375
1,82,1,2,True,1164.5191650390625
1,83,1,2,True,1160.7540283203125
1,84,1,2,True,1165.9390869140625
1,85,1,2,True,1137.76123046875
1,86,1,9,True,1132.8990478515625
1,87,1,7,True,1138.4088134765625
1,88,1,2,True,1176.9647216796875
1,89,1,2,True,1150.9556884765625
1,90,1,1,False,1059.5537109375
1,91,1,2,True,1149.0352783203125
1,92,1,2,True,1159.6875
1,93,1,7,True,1166.8577880859375
1,94,1,8,True,1139.343994140625
1,95,1,7,True,1127.32470703125
1,96,1,2,True,1201.63916015625
1,97,1,2,True,1165.2159423828125
1,98,1,7,True,1186.8895263671875
1,99,1,3,True,1151.2738037109375
2,100,2,2,False,0.0
2,101,2,2,False,0.0
2,102,2,2,False,0.0
2,103,2,2,False,0.0
2,104,2,2,False,0.0
2,105,2,2,False,0.0
2,106,2,2,False,0.0
2,107,2,2,False,0.0
2,108,2,1,True,1162.9625244140625
2,109,2,2,False,0.0
2,110,2,2,False,0.0
2,111,2,2,False,1016.5189819335938
2,112,2,2,False,0.0
2,113,2,2,False,0.0
2,114,2,1,True,1141.971435546875
2,115,2,7,True,1166.3907470703125
2,116,2,2,False,0.0
2,117,2,2,False,1122.256591796875
2,118,2,2,False,0.0
2,119,2,2,False,0.0
2,120,2,2,False,0.0
2,121,2,2,False,0.0
2,122,2,2,False,0.0
2,123,2,2,False,0.0
